Method,RMSE,MAE,R²,Time (s)
Linear Regression,20.899557839186137,16.72138947038082,0.4251836204217654,0.12490582466125488
Polynomial Regression,19.363661260763283,14.867613922161313,0.5065650671591715,0.07616853713989258
MLP Neural Network,17.528046971966575,12.644463116174622,0.5956830060806068,5.839321613311768
