Method,Accuracy,Precision,Recall,F1-Score,Time (s)
Logistic Regression,0.9365377393916635,0.9275089859760367,0.9365377393916635,0.9301014922391146,0.04521489143371582
SVM (RBF),0.9361622230567029,0.9257345598096544,0.9361622230567029,0.9280260489232965,9.662642002105713
MLP Neural Network,0.9331580923770184,0.9203355993862559,0.9331580923770184,0.9231597643185209,2.58223819732666
